pixel,reflectance1,reflectance2,absorption1,absorption2
1,6.35E-05,1.06E-06,,
2,6.18E-05,1.24E-06,,
3,6.01E-05,1.19E-06,,
4,5.83E-05,1.31E-06,,
5,5.63E-05,1.22E-06,,
6,5.44E-05,1.34E-06,,
7,5.27E-05,1.37E-06,,
8,5.08E-05,1.35E-06,,
9,4.89E-05,1.38E-06,,
10,4.73E-05,1.42E-06,,
11,4.57E-05,1.53E-06,,
12,4.40E-05,1.60E-06,,
13,4.25E-05,1.59E-06,,
14,4.09E-05,1.67E-06,,
15,3.95E-05,1.55E-06,,
16,3.80E-05,1.67E-06,,
17,3.66E-05,1.76E-06,,
18,3.54E-05,1.70E-06,,
19,3.42E-05,1.88E-06,,
20,3.29E-05,1.87E-06,,
21,3.19E-05,2.00E-06,,
22,3.07E-05,1.95E-06,,
23,2.95E-05,2.12E-06,,
24,2.85E-05,2.13E-06,,
25,2.74E-05,2.22E-06,,
26,2.67E-05,2.27E-06,,
27,2.57E-05,2.34E-06,,
28,2.48E-05,2.42E-06,,
29,2.40E-05,2.49E-06,,
30,2.32E-05,2.59E-06,,
31,2.22E-05,2.60E-06,,
32,2.15E-05,2.69E-06,,
33,2.08E-05,2.74E-06,,
34,2.00E-05,2.87E-06,,
35,1.95E-05,3.00E-06,,
36,1.86E-05,3.01E-06,,
37,1.80E-05,3.07E-06,,
38,1.75E-05,3.14E-06,,
39,1.72E-05,3.33E-06,,
40,1.61E-05,3.35E-06,,
41,1.55E-05,3.42E-06,,
42,1.50E-05,3.55E-06,,
43,1.44E-05,3.62E-06,,
44,1.40E-05,3.66E-06,,
45,1.35E-05,3.82E-06,,
46,1.30E-05,3.90E-06,,
47,1.27E-05,4.02E-06,,
48,1.22E-05,4.21E-06,,
49,1.18E-05,4.35E-06,,
50,1.13E-05,4.44E-06,,
51,1.11E-05,4.62E-06,,
52,1.07E-05,4.78E-06,,
53,1.03E-05,4.87E-06,,
54,1.00E-05,5.04E-06,,
55,9.70E-06,5.24E-06,,
56,9.34E-06,5.30E-06,,
57,9.11E-06,5.49E-06,,
58,8.78E-06,5.81E-06,,
59,8.53E-06,5.89E-06,,
60,8.32E-06,6.07E-06,,
61,8.09E-06,6.36E-06,,
62,7.79E-06,6.46E-06,,
63,7.59E-06,6.80E-06,,
64,7.33E-06,6.97E-06,,
65,7.10E-06,7.08E-06,,
66,6.86E-06,7.44E-06,,
67,6.67E-06,7.55E-06,,
68,6.45E-06,7.81E-06,,
69,6.24E-06,8.14E-06,,
70,6.05E-06,8.34E-06,,
71,5.90E-06,8.61E-06,,
72,5.71E-06,8.75E-06,,
73,5.56E-06,9.23E-06,,
74,5.44E-06,9.49E-06,,
75,5.19E-06,9.77E-06,,
76,5.09E-06,1.00E-05,,
77,4.91E-06,1.03E-05,,
78,4.77E-06,1.07E-05,,
79,4.69E-06,1.11E-05,,
80,4.48E-06,1.14E-05,,
81,4.38E-06,1.19E-05,,
82,4.21E-06,1.22E-05,,
83,4.12E-06,1.26E-05,,
84,4.05E-06,1.31E-05,,
85,3.86E-06,1.35E-05,,
86,3.76E-06,1.40E-05,,
87,3.65E-06,1.43E-05,,
88,3.54E-06,1.48E-05,,
89,3.46E-06,1.56E-05,,
90,3.41E-06,1.61E-05,,
91,3.28E-06,1.66E-05,,
92,3.15E-06,1.72E-05,,
93,3.03E-06,1.77E-05,,
94,3.02E-06,1.83E-05,,
95,2.90E-06,1.90E-05,,
96,2.81E-06,1.96E-05,,
97,2.78E-06,2.04E-05,,
98,2.67E-06,2.13E-05,,
99,2.68E-06,2.21E-05,,
100,2.53E-06,2.26E-05,,
101,2.46E-06,2.33E-05,,
102,2.40E-06,2.42E-05,,
103,2.39E-06,2.51E-05,,
104,2.31E-06,2.60E-05,,
105,2.20E-06,2.69E-05,,
106,2.13E-06,2.79E-05,,
107,2.14E-06,2.91E-05,,
108,2.09E-06,3.02E-05,,
109,2.06E-06,3.14E-05,,
110,1.92E-06,3.24E-05,,
111,1.91E-06,3.37E-05,,
112,1.91E-06,3.50E-05,,
113,1.77E-06,3.63E-05,,
114,1.76E-06,3.76E-05,,
115,1.71E-06,3.89E-05,,
116,1.63E-06,4.01E-05,,
117,1.59E-06,4.19E-05,,
118,1.59E-06,4.34E-05,,
119,1.54E-06,4.48E-05,,
120,1.53E-06,4.67E-05,,
121,1.48E-06,4.81E-05,,
122,1.44E-06,5.00E-05,,
123,1.41E-06,5.19E-05,,
124,1.33E-06,5.37E-05,,
125,1.30E-06,5.57E-05,,
126,1.28E-06,5.75E-05,,
127,1.24E-06,5.91E-05,,
128,1.23E-06,6.13E-05,,
